feature_set,model,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
PhysChemOnly,PhysChemOnly-SVC,5,22.0,0.36199999999999993,0.04147288270665543,0.6340425531914893,0.027741286830649556,0.6471804511278196,0.021856303539471652,0.693796992481203,0.024148832102640762,0.5716773634166775,0.05472774687245633,0.6101563706563706,0.033601622919997104,0.2959938725931205,0.04686381738801391,0.5400079116769159,0.03393004863238188,0.7157894736842105,0.11531001210635075,0.5785714285714285,0.10832679205787928
PhysChemOnly,PhysChemOnly-CatBoost,5,22.0,0.404,0.1262141038077758,0.6404255319148937,0.03638857739678102,0.6474624060150376,0.0503449380675101,0.6789003759398498,0.05576301949595784,0.5633637321151508,0.06906631676511772,0.5980334544271922,0.08863305979300697,0.2947467635334203,0.09659603037002243,0.5427075532182803,0.03968541242136576,0.6842105263157895,0.16850326940612761,0.6107142857142857,0.09731733281027649
Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,5,988.0,0.22599999999999998,0.08848728722251574,0.6276595744680852,0.022567237697443013,0.6452067669172932,0.018136297458085416,0.669360902255639,0.028793394202840432,0.5469459995557912,0.03754449264899655,0.6141828521932653,0.02425422347321363,0.29112490683560244,0.040066271516778905,0.5304400472174559,0.02391140471553407,0.7368421052631579,0.08727959974619476,0.5535714285714286,0.08280016513835448
SeqOnly,SeqOnly-CatBoost,5,130.0,0.4419999999999999,0.24056184236075348,0.6276595744680852,0.05372077094873445,0.6282894736842104,0.04228931686129157,0.6952067669172932,0.02665679303165182,0.6083463000003834,0.04776903079125466,0.5563472151960649,0.12250641882558516,0.2802696226251592,0.07836937453454487,0.5615024630541872,0.0839273453137708,0.631578947368421,0.26772355196547115,0.6249999999999999,0.24255495905725225
A1FlatFull,A1FlatFull-CatBoost,5,906.0,0.45999999999999996,0.24423349483639623,0.6425531914893617,0.022060043992901793,0.6306390977443609,0.029815238783791803,0.7110902255639097,0.017855287794424364,0.6438846544334552,0.012158235108340213,0.5415823831619743,0.10795058768585444,0.2794535585784227,0.034235283050400286,0.5837402250169383,0.07083585900484775,0.5684210526315789,0.2343435459041388,0.6928571428571428,0.18445659298023898
PhysChemOnly,PhysChemOnly-LR,5,22.0,0.40199999999999997,0.0898331787259028,0.5957446808510639,0.07370428968378202,0.6302631578947369,0.06433629374820789,0.680968045112782,0.05728058665473251,0.5648351681239708,0.08290987529785357,0.620372483931201,0.04879212637754432,0.2674373958937586,0.12320432772997587,0.5042168693506156,0.05617842609947514,0.8105263157894737,0.043241254539881535,0.45,0.11804638486456007
Descriptor_A1FlatFull,Descriptor_A1FlatFull-MLP,5,988.0,0.43199999999999994,0.1411382301150188,0.625531914893617,0.0691080075272839,0.6155075187969926,0.02809623822220122,0.6927631578947369,0.05567706773136377,0.6038271625292142,0.0527780351393707,0.5358999241282113,0.058328865004253695,0.26336789207943995,0.07714865708864231,0.5906492124896381,0.14094201746175666,0.5631578947368421,0.23136952252982385,0.6678571428571429,0.2674401516113045
Descriptor,Descriptor-MLP,5,82.0,0.414,0.08080841540334767,0.6319148936170212,0.034961014308840355,0.6217105263157894,0.03768345790777347,0.6921992481203006,0.04315255863176441,0.573493248273663,0.03654991072796566,0.5426194597582439,0.08629544318002834,0.2525901333892687,0.06759863261779889,0.5529045893719806,0.041402097533710804,0.5684210526315789,0.19833098612017655,0.675,0.15941938657618318
Descriptor,Descriptor-LR,5,82.0,0.47400000000000003,0.37700132625761407,0.6106382978723405,0.06497204887064882,0.6004699248120301,0.04224020276005127,0.6880639097744361,0.022586719898357577,0.6061621306518672,0.044448926452316115,0.4879155839042445,0.1608075566066443,0.24936985136691953,0.08478881190162459,0.6240491452991452,0.22087027501871648,0.5473684210526315,0.32625211602884113,0.6535714285714286,0.3068624134955706
A1FlatFull,A1FlatFull-MLP,5,906.0,0.4579999999999999,0.193183850256692,0.623404255319149,0.08530561785842322,0.6044172932330827,0.048483625668843046,0.7093984962406015,0.05349779763821818,0.6036415095568135,0.08055945887970935,0.5028533421474707,0.09661900703771714,0.24655063670763827,0.11378979888663311,0.604062604062604,0.14830263389247492,0.5052631578947369,0.2457393164195527,0.7035714285714286,0.2914053737265919
PhysChemOnly,PhysChemOnly-MLP,5,22.0,0.356,0.048270073544588656,0.5829787234042553,0.09790702438164714,0.6178571428571428,0.06839093337522803,0.6793233082706768,0.0212757128788975,0.5613766436043569,0.03323322131195718,0.6112569182286254,0.027278350306485566,0.2360686033077987,0.13499629962301268,0.502422685928304,0.06014491214675469,0.8,0.08846177007353477,0.43571428571428567,0.2232499971433142
SeqOnly,SeqOnly-LR,5,130.0,0.51,0.19506409203131156,0.6212765957446809,0.03879698410385206,0.6017857142857144,0.03721851978128234,0.6484022556390978,0.015650683425464103,0.554385525779922,0.021218998920005897,0.5036742640570276,0.09426294607553369,0.2149243495223431,0.06925354065679017,0.5488523162661093,0.06406606897989796,0.5000000000000001,0.17356455208253843,0.7035714285714285,0.14811743823805518
A1FlatFull,A1FlatFull-LR,5,906.0,0.6399999999999999,0.2612470095522626,0.625531914893617,0.023063280200722135,0.593515037593985,0.05897884018698211,0.6787593984962406,0.027542966321393997,0.5562495444126939,0.039781768827444164,0.4235487421570408,0.23351859326289484,0.20196130719562602,0.10757083465567417,0.5525901316598991,0.05742069460296461,0.42631578947368426,0.2926855308084059,0.7607142857142858,0.18280691274385322
SeqOnly,SeqOnly-MLP,5,130.0,0.42799999999999994,0.08408329203831162,0.6106382978723405,0.03496101430884038,0.5894736842105261,0.026737441662340645,0.6215225563909774,0.07882181544345174,0.5389644694638561,0.061506049387484225,0.4925485668947829,0.0634489822491634,0.18712043029595343,0.05451168633435095,0.5312422351083765,0.05334381600995562,0.47894736842105273,0.11680179484827447,0.7,0.11804638486456005
SeqOnly,SeqOnly-SVC,5,130.0,0.426,0.1728583234906552,0.5851063829787234,0.060647628994635,0.5731203007518797,0.01895667605407264,0.6725563909774437,0.018885336334640616,0.6050223396689371,0.03365469180670135,0.4675050874821278,0.12112561420845887,0.17468413652757633,0.05456277521101596,0.5491106235445977,0.1207188679257859,0.5105263157894737,0.26875624066709025,0.6357142857142858,0.2796795724848458
