model,n_runs,seeds,n_features_min,n_features_max,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_mae_mean,test_strong_bias_mean,val_rmse_mean
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_noheur,3,"42,52,62",400,400,1.097314543986273,0.11677494990706433,0.8289889579276415,0.10361883916615547,0.46384350384055156,0.13797111438832285,0.3333333333333333,0.3333333333333333,0.5666666666666667,1.7526808209612943,-1.7526808209612943,1.0849587591711956
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_aux,3,"42,52,62",400,400,1.0990802108101438,0.11223270027616185,0.8336899755073394,0.0973988259657006,0.4700315343702026,0.14128225902491007,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.7511119936280999,-1.7511119936280999,1.086442834318164
A1FlatSelectedK200-GroupWeightedSVR-diag4_pair_verylight,3,"42,52,62",200,200,1.104139867894965,0.07851780875334367,0.8389841639645953,0.0537050129047675,0.46694620673272347,0.16303225241319774,0.3333333333333333,0.26666666666666666,0.5333333333333333,2.116676475774283,-2.116676475774283,1.0745027770969495
A1FlatFull-GroupWeightedSVR-diag4_pair_verylight,3,"42,52,62",906,906,1.1055242323100385,0.13640890730282573,0.8516264838017223,0.11447699362657421,0.4625605656144856,0.18205194075959907,0.4000000000000001,0.3666666666666667,0.5333333333333333,1.8103145571237969,-1.8103145571237969,1.0881794091661094
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_aux,3,"42,52,62",200,200,1.1075335884290711,0.09864995586915007,0.8343711120332352,0.07831547752797431,0.4506509694680169,0.140839577911976,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.0115271737789286,-2.0115271737789286,1.0653648316900697
A1FlatSelectedK50-GroupWeightedSVR-equal_weight,3,"42,52,62",50,50,1.1083562296918024,0.03695975057969893,0.8620509944328733,0.03818946308613789,0.4583317128324171,0.08178548428152842,0.3333333333333333,0.3,0.5499999999999999,1.8189916993784465,-1.8189916993784465,1.101217244729175
A1FlatFull-GroupWeightedSVR-diag3_pair_light,3,"42,52,62",906,906,1.1091523583412517,0.13327232044972862,0.8384824233472862,0.12357477676383892,0.44264345770684993,0.16446804306445464,0.4000000000000001,0.3666666666666667,0.5666666666666668,1.8401636262754149,-1.8401636262754149,1.085643302187028
A1FlatFull-GroupWeightedSVR-diag3_pair_noheur,3,"42,52,62",906,906,1.1091735735550254,0.13342591451895397,0.8386869906613174,0.12329803593068583,0.442520981589674,0.16465757767339095,0.4000000000000001,0.3666666666666667,0.5666666666666668,1.8387430994525336,-1.8387430994525336,1.0853750924844296
A1FlatSelectedK100-GroupWeightedSVR-diag1p5_pair_aux,3,"42,52,62",100,100,1.1105968120479093,0.04938866297098895,0.8751793908557209,0.05455562845392708,0.42961969618295975,0.12288646713584966,0.4000000000000001,0.3333333333333333,0.5,1.8424570953342654,-1.8424570953342654,1.0988368066274745
A1FlatSelectedK200-GroupWeightedSVR-diag2_corepair_only,3,"42,52,62",200,200,1.1120211558069228,0.09770689259496396,0.8391315133555296,0.07837456853501377,0.44828308552163737,0.14329892084741136,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.9923809237887726,-1.9923809237887726,1.0692726408892868
A1FlatSelectedK100-GroupWeightedSVR-diag2_corepair_only,3,"42,52,62",100,100,1.112279156840785,0.04641201236167203,0.8742350279189166,0.06178112629149965,0.4218161571933004,0.10834258931166035,0.4666666666666666,0.3333333333333333,0.5,1.857918151515391,-1.857918151515391,1.1066583400165648
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_noheur,3,"42,52,62",200,200,1.1134796832456277,0.09843683409223447,0.840661403104532,0.080057242238173,0.44536697973809375,0.1454829294241243,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.9856914869997035,-1.9856914869997035,1.0679105227290266
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_aux,3,"42,52,62",100,100,1.115954626773082,0.04837922403156866,0.8779627300208598,0.05613899160865276,0.41714456845858816,0.11593909766874928,0.3333333333333333,0.3333333333333333,0.48333333333333334,1.865569132406466,-1.865569132406466,1.1034659409102876
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_noheur,3,"42,52,62",100,100,1.1178755111436918,0.046097632759544704,0.879628198954709,0.05371458792714637,0.4173136978072291,0.11201368932098854,0.3333333333333333,0.3333333333333333,0.5,1.862719639247353,-1.862719639247353,1.1064627080781704
A1FlatSelectedK100-GroupWeightedSVR-equal_weight,3,"42,52,62",100,100,1.1212498803327824,0.06947201156864857,0.8771363387088913,0.06466565319233826,0.42319843857985323,0.12339233145939077,0.3333333333333333,0.3,0.5333333333333333,1.8953203405156593,-1.8953203405156593,1.09134094609172
A1FlatSelectedK50-GroupWeightedSVR-diag1p5_pair_aux,3,"42,52,62",50,50,1.131709456320048,0.053954271503397995,0.8799171672728449,0.04706163609379404,0.42239358751346323,0.09313904994734697,0.26666666666666666,0.16666666666666666,0.5166666666666667,1.802770275868821,-1.802770275868821,1.1077739037671417
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_light,3,"42,52,62",100,100,1.1339009897364518,0.046576362905436854,0.8940640598352476,0.059898088549262644,0.40497268778471757,0.12110477257337543,0.3333333333333333,0.2333333333333333,0.48333333333333334,1.9503571527885113,-1.9503571527885113,1.1099077799853534
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_noheur,3,"42,52,62",100,100,1.134583552852143,0.04551289770249279,0.8948750081242092,0.058858176706183804,0.40529929331501985,0.1202858720775536,0.3333333333333333,0.2333333333333333,0.48333333333333334,1.9511927952383228,-1.9511927952383228,1.1105005326266728
A1FlatSelectedK100-GroupWeightedSVR-diag4_pair_verylight,3,"42,52,62",100,100,1.1419154727600231,0.03577566653048317,0.8947624557480031,0.053017712199544445,0.3936290076769324,0.11418247571999068,0.3333333333333333,0.26666666666666666,0.4833333333333334,2.0128202322329622,-2.0128202322329622,1.1116776045248928
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_noheur,3,"42,52,62",50,50,1.1471924859098277,0.03491377819420902,0.8851010256786204,0.03517284741374325,0.40169488068662224,0.11555781554592451,0.26666666666666666,0.16666666666666666,0.45,1.8613934450491119,-1.8613934450491119,1.1003254607880202
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_aux,3,"42,52,62",50,50,1.1473188406687973,0.035938994227501075,0.891963526401217,0.029075968500156295,0.4112481072702374,0.1264217090985056,0.26666666666666666,0.20000000000000004,0.5,1.8513950420518988,-1.8513950420518988,1.101015046872604
A1FlatSelectedK50-GroupWeightedSVR-diag2_corepair_only,3,"42,52,62",50,50,1.1482808924135826,0.030501303667839763,0.8878210133658299,0.03029092729066171,0.3969416003374398,0.08902895584683441,0.26666666666666666,0.16666666666666666,0.48333333333333334,1.8391491791794794,-1.8391491791794794,1.1013830921780745
A1FlatSelectedK50-GroupWeightedSVR-diag4_pair_verylight,3,"42,52,62",50,50,1.1544961133480038,0.014656147964475064,0.9046978025628148,0.018526846659219453,0.37260953685311415,0.09460428747331823,0.3333333333333333,0.26666666666666666,0.45,1.872974210002087,-1.872974210002087,1.1030364773735857
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_noheur,3,"42,52,62",50,50,1.1571641499936849,0.03862263238327571,0.8988713688539414,0.027814734071238086,0.380844688301611,0.10185395382975544,0.26666666666666666,0.20000000000000004,0.4166666666666667,1.8317302961698312,-1.8317302961698312,1.0975671741351118
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_light,3,"42,52,62",50,50,1.1575266951244834,0.04036188622336443,0.8987441136451504,0.029215392414378857,0.38314259375291115,0.10504553126796573,0.26666666666666666,0.20000000000000004,0.4166666666666667,1.8316282843212932,-1.8316282843212932,1.0975044066409778
