model,step,feature_set,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_n_mean,test_strong_mae_mean,test_strong_rmse_mean,test_strong_bias_mean,val_rmse_mean,val_rmse_std
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0868171675482767,0.08654626580722645,0.8252651663537036,0.07829135986528278,0.4882687270447145,0.09931110281988136,0.3333333333333333,0.4000000000000001,0.6,2.6666666666666665,1.8010809913240509,1.9001002218898835,-1.8010809913240509,1.0754239317862038,0.09802096446612722
A1FlatSelectedK200-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.0906712348414618,0.06631303019539712,0.8183423312128403,0.0587223008709328,0.4539343702281075,0.10856925754088978,0.4000000000000001,0.4000000000000001,0.5166666666666667,2.6666666666666665,1.9342660291938196,2.1086174302518477,-1.9342660291938196,1.0610032820355626,0.12211616686776987
A1FlatSelectedK400-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0918956740743617,0.08699722995310408,0.8317119069705984,0.0738337461366109,0.48254731148750607,0.09579633786511259,0.3333333333333333,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.8079254448725017,1.912280659995865,-1.8079254448725017,1.082508819281432,0.0973601656241494
A1FlatPairOnly-TunedSVR,01_anchor_baseline,A1FlatPairOnly,450,1.096518920393937,0.03283483052322419,0.8557251585198841,0.03909801187753494,0.4584657248139405,0.06279882284776339,0.3333333333333333,0.39999999999999997,0.5666666666666668,2.6666666666666665,1.6389430956915672,1.7720679222130833,-1.6389430956915672,1.1241403877535456,0.06860521820463554
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.097314543986273,0.11677494990706433,0.8289889579276415,0.10361883916615544,0.46384350384055156,0.13797111438832285,0.3333333333333333,0.3333333333333333,0.5666666666666667,2.6666666666666665,1.7526808209612943,1.8548551480421718,-1.7526808209612943,1.0849587591711956,0.09553259704482439
A1FlatSelectedK400-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k400_GroupWeighted,400,1.0990802108101438,0.11223270027616185,0.8336899755073394,0.0973988259657006,0.4700315343702026,0.14128225902491007,0.3333333333333333,0.3333333333333333,0.5833333333333334,2.6666666666666665,1.7511119936280999,1.8521357297938639,-1.7511119936280999,1.086442834318164,0.09508619665726384
A1FlatSelectedK200-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.104139867894965,0.07851780875334367,0.8389841639645952,0.05370501290476739,0.46694620673272347,0.16303225241319774,0.3333333333333333,0.26666666666666666,0.5333333333333333,2.6666666666666665,2.116676475774283,2.2334865144493086,-2.116676475774283,1.0745027770969495,0.12702729062200113
A1FlatFull-GroupWeightedSVR-diag4_pair_verylight,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.1055242323100385,0.13640890730282568,0.8516264838017223,0.11447699362657424,0.4625605656144856,0.18205194075959905,0.4000000000000001,0.3666666666666667,0.5333333333333333,2.6666666666666665,1.810314557123797,1.8916294334351786,-1.810314557123797,1.0881794091661094,0.09377944443183858
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.1075335884290711,0.09864995586915007,0.8343711120332352,0.07831547752797431,0.4506509694680169,0.140839577911976,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.6666666666666665,2.0115271737789286,2.125938695546011,-2.0115271737789286,1.0653648316900697,0.11571177800909978
A1FlatSelectedK50-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1083562296918024,0.03695975057969893,0.8620509944328733,0.03818946308613789,0.4583317128324171,0.08178548428152842,0.3333333333333333,0.3,0.5499999999999999,2.6666666666666665,1.8189916993784465,1.870211565443842,-1.8189916993784465,1.101217244729175,0.08496053644971722
A1FlatFull-GroupWeightedSVR-diag3_pair_light,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.1091523583412517,0.13327232044972862,0.8384824233472862,0.12357477676383892,0.44264345770684993,0.16446804306445462,0.4000000000000001,0.3666666666666667,0.5666666666666668,2.6666666666666665,1.8401636262754149,1.966351028278823,-1.8401636262754149,1.085643302187028,0.09137579572512755
A1FlatFull-GroupWeightedSVR-diag3_pair_noheur,03_full_group_weighted_svr,A1FlatFull_GroupWeighted,906,1.1091735735550254,0.13342591451895397,0.8386869906613174,0.12329803593068586,0.442520981589674,0.16465757767339095,0.4000000000000001,0.3666666666666667,0.5666666666666668,2.6666666666666665,1.8387430994525336,1.9648945575628411,-1.8387430994525336,1.0853750924844296,0.09107987038579195
A1FlatSelectedK100-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.1105968120479093,0.04938866297098895,0.8751793908557209,0.05455562845392696,0.42961969618295975,0.12288646713584966,0.4000000000000001,0.3333333333333333,0.5,2.6666666666666665,1.8424570953342654,1.8764188226102043,-1.8424570953342654,1.0988368066274745,0.10663814715248345
A1FlatSelectedK200-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.1120211558069228,0.09770689259496396,0.8391315133555296,0.07837456853501377,0.44828308552163737,0.14329892084741136,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.992380923788773,2.1069688360453047,-1.992380923788773,1.0692726408892868,0.11187211555700469
A1FlatSelectedK100-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.112279156840785,0.04641201236167203,0.8742350279189166,0.06178112629149965,0.4218161571933004,0.10834258931166035,0.4666666666666666,0.3333333333333333,0.5,2.6666666666666665,1.8579181515153909,1.8943933031050992,-1.8579181515153909,1.1066583400165648,0.11101060175328754
A1FlatSelectedK200-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k200_GroupWeighted,200,1.113479683245628,0.09843683409223429,0.840661403104532,0.080057242238173,0.44536697973809386,0.14548292942412425,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.9856914869997035,2.0997353172597504,-1.9856914869997035,1.0679105227290266,0.11256982287803599
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.115954626773082,0.04837922403156863,0.8779627300208598,0.05613899160865278,0.41714456845858816,0.11593909766874928,0.3333333333333333,0.3333333333333333,0.48333333333333334,2.6666666666666665,1.8655691324064658,1.89679385755818,-1.8655691324064658,1.1034659409102876,0.10942685205189263
A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.117875511143692,0.04609763275954469,0.879628198954709,0.05371458792714637,0.4173136978072291,0.1120136893209885,0.3333333333333333,0.3333333333333333,0.5,2.6666666666666665,1.8627196392473528,1.8945846532180404,-1.8627196392473528,1.1064627080781704,0.11180165378152702
A1FlatSelectedK100-GroupWeightedSVR-equal_weight,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.1212498803327824,0.06947201156864848,0.8771363387088913,0.06466565319233818,0.42319843857985323,0.12339233145939077,0.3333333333333333,0.3,0.5333333333333333,2.6666666666666665,1.8953203405156593,1.9631350312686047,-1.8953203405156593,1.09134094609172,0.10664532845654558
A1FlatSelected-TunedSVR,02_selected_svr_baseline,A1FlatSelected_k400,400,1.1309520012451861,,0.899309350086996,,0.4075830213732312,,0.2,0.4,0.5,2.0,1.8854741337575422,1.99674126874844,-1.8854741337575422,1.1866443127170858,
A1FlatSelectedK50-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.131709456320048,0.053954271503397995,0.8799171672728449,0.04706163609379404,0.4223935875134633,0.09313904994734695,0.26666666666666666,0.16666666666666666,0.5166666666666667,2.6666666666666665,1.802770275868821,1.8402246626286425,-1.802770275868821,1.1077739037671417,0.09478665019004193
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.1339009897364518,0.04657636290543671,0.8940640598352476,0.05989808854926256,0.40497268778471757,0.1211047725733754,0.3333333333333333,0.2333333333333333,0.48333333333333334,2.6666666666666665,1.9503571527885113,2.0025574706129166,-1.9503571527885113,1.1099077799853534,0.11478715020935905
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.134583552852143,0.04551289770249279,0.8948750081242092,0.058858176706183804,0.40529929331501985,0.1202858720775536,0.3333333333333333,0.2333333333333333,0.48333333333333334,2.6666666666666665,1.9511927952383223,2.0033488431042272,-1.9511927952383223,1.1105005326266728,0.11451125878327757
A1FlatSelectedK100-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,100,1.1419154727600231,0.03577566653048317,0.8947624557480031,0.053017712199544445,0.3936290076769324,0.11418247571999068,0.3333333333333333,0.26666666666666666,0.4833333333333334,2.6666666666666665,2.0128202322329622,2.0506686307894584,-2.0128202322329622,1.1116776045248928,0.11601504289092947
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1471924859098277,0.03491377819420929,0.8851010256786204,0.03517284741374325,0.40169488068662224,0.11555781554592451,0.26666666666666666,0.16666666666666666,0.45,2.6666666666666665,1.8613934450491119,1.9097158544712036,-1.8613934450491119,1.1003254607880202,0.0869291766035628
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1473188406687973,0.03593899422750102,0.891963526401217,0.029075968500156295,0.4112481072702374,0.1264217090985056,0.26666666666666666,0.20000000000000004,0.5,2.6666666666666665,1.8513950420518988,1.889614987471915,-1.8513950420518988,1.101015046872604,0.0862933620058516
A1FlatSelectedK50-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1482808924135826,0.030501303667839905,0.8878210133658299,0.03029092729066171,0.3969416003374399,0.08902895584683439,0.26666666666666666,0.16666666666666666,0.48333333333333334,2.6666666666666665,1.8391491791794794,1.8912234709672735,-1.8391491791794794,1.1013830921780745,0.085348295803207
A1FlatSelectedK50-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1544961133480036,0.014656147964475216,0.9046978025628148,0.018526846659219463,0.37260953685311415,0.09460428747331823,0.3333333333333333,0.26666666666666666,0.45,2.6666666666666665,1.8729742100020867,1.891177350947501,-1.8729742100020867,1.1030364773735857,0.081824347631647
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1571641499936849,0.03862263238327571,0.8988713688539414,0.027814734071238002,0.380844688301611,0.10185395382975544,0.26666666666666666,0.20000000000000004,0.4166666666666667,2.6666666666666665,1.831730296169831,1.8586874796649242,-1.831730296169831,1.097567174135112,0.07129601048602799
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,50,1.1575266951244834,0.04036188622336443,0.8987441136451504,0.029215392414378857,0.3831425937529112,0.10504553126796573,0.26666666666666666,0.20000000000000004,0.4166666666666667,2.6666666666666665,1.8316282843212932,1.8589522620104475,-1.8316282843212932,1.0975044066409778,0.07125043543107656
