model,step,feature_set,n_runs,seeds,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_spearman_mean,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_mae_mean,test_strong_bias_mean,val_rmse_mean
A1FlatSelectedK50-GroupWeightedSVR-diag1p5_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.131709456320048,0.053954271503397995,0.8799171672728449,0.42239358751346323,0.26666666666666666,0.16666666666666666,0.5166666666666667,1.802770275868821,-1.802770275868821,1.1077739037671417
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.1339009897364518,0.046576362905436854,0.8940640598352476,0.40497268778471757,0.3333333333333333,0.2333333333333333,0.48333333333333334,1.9503571527885113,-1.9503571527885113,1.1099077799853534
A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.134583552852143,0.04551289770249279,0.8948750081242092,0.40529929331501985,0.3333333333333333,0.2333333333333333,0.48333333333333334,1.9511927952383228,-1.9511927952383228,1.1105005326266728
A1FlatSelectedK100-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k100_GroupWeighted,3,"42,52,62",100,1.1419154727600231,0.03577566653048317,0.8947624557480031,0.3936290076769324,0.3333333333333333,0.26666666666666666,0.4833333333333334,2.0128202322329622,-2.0128202322329622,1.1116776045248928
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1471924859098277,0.03491377819420902,0.8851010256786204,0.40169488068662224,0.26666666666666666,0.16666666666666666,0.45,1.8613934450491119,-1.8613934450491119,1.1003254607880202
A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_aux,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1473188406687973,0.035938994227501075,0.891963526401217,0.4112481072702374,0.26666666666666666,0.20000000000000004,0.5,1.8513950420518988,-1.8513950420518988,1.101015046872604
A1FlatSelectedK50-GroupWeightedSVR-diag2_corepair_only,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1482808924135826,0.030501303667839763,0.8878210133658299,0.3969416003374398,0.26666666666666666,0.16666666666666666,0.48333333333333334,1.8391491791794794,-1.8391491791794794,1.1013830921780745
A1FlatSelectedK50-GroupWeightedSVR-diag4_pair_verylight,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1544961133480038,0.014656147964475064,0.9046978025628148,0.37260953685311415,0.3333333333333333,0.26666666666666666,0.45,1.872974210002087,-1.872974210002087,1.1030364773735857
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_noheur,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1571641499936849,0.03862263238327571,0.8988713688539414,0.380844688301611,0.26666666666666666,0.20000000000000004,0.4166666666666667,1.8317302961698312,-1.8317302961698312,1.0975671741351118
A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_light,04_selected_group_weighted_svr,A1FlatSelected_k50_GroupWeighted,3,"42,52,62",50,1.1575266951244834,0.04036188622336443,0.8987441136451504,0.38314259375291115,0.26666666666666666,0.20000000000000004,0.4166666666666667,1.8316282843212932,-1.8316282843212932,1.0975044066409778
