dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,52,GRU_Descriptor,valid,82,0.6799999999999999,0.72,0.6888888888888889,0.6511111111111111,0.5646963366086147,0.6037735849056604,0.4013633399524028,0.6956521739130435,0.5333333333333333,0.8444444444444444,"{""best_epoch"": 13, ""best_valid_auc"": 0.6511111111111111}"
acepair_cls_2_3,52,GRU_Descriptor,test,82,0.6799999999999999,0.648936170212766,0.5953947368421053,0.6734022556390976,0.6502391401508865,0.42105263157894735,0.23314858798898133,0.631578947368421,0.3157894736842105,0.875,"{""best_epoch"": 13, ""best_valid_auc"": 0.6511111111111111}"
acepair_cls_2_3,52,GRU_A1PCA,valid,64,0.5499999999999999,0.7333333333333333,0.7222222222222222,0.7125925925925926,0.55883383456429,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.7777777777777778,"{""best_epoch"": 2, ""best_valid_auc"": 0.7125925925925926}"
acepair_cls_2_3,52,GRU_A1PCA,test,64,0.5499999999999999,0.6170212765957447,0.581296992481203,0.6611842105263157,0.5728458842350527,0.45454545454545453,0.17447744926322958,0.5357142857142857,0.39473684210526316,0.7678571428571429,"{""best_epoch"": 2, ""best_valid_auc"": 0.7125925925925926}"
acepair_cls_2_3,52,GRU_Descriptor_A1PCA,valid,146,0.61,0.7066666666666667,0.6666666666666667,0.6859259259259259,0.5629976284065205,0.56,0.3692744729379982,0.7,0.4666666666666667,0.8666666666666667,"{""best_epoch"": 4, ""best_valid_auc"": 0.6859259259259259}"
acepair_cls_2_3,52,GRU_Descriptor_A1PCA,test,146,0.61,0.6276595744680851,0.581766917293233,0.6912593984962406,0.5912523596702631,0.4262295081967213,0.18668109506043726,0.5652173913043478,0.34210526315789475,0.8214285714285714,"{""best_epoch"": 4, ""best_valid_auc"": 0.6859259259259259}"
acepair_cls_2_3,62,GRUOnly,valid,0,0.8499999999999999,0.6666666666666666,0.6388888888888888,0.6374074074074074,0.5694057521323952,0.5454545454545454,0.28867513459481287,0.6,0.5,0.7777777777777778,"{""best_epoch"": 84, ""best_valid_auc"": 0.6374074074074074}"
acepair_cls_2_3,62,GRUOnly,test,0,0.8499999999999999,0.648936170212766,0.6165413533834586,0.6766917293233083,0.6113879775581624,0.5074626865671642,0.24765105783948063,0.5862068965517241,0.4473684210526316,0.7857142857142857,"{""best_epoch"": 84, ""best_valid_auc"": 0.6374074074074074}"
acepair_cls_2_3,62,GRU_Descriptor,valid,82,0.6,0.6533333333333333,0.6388888888888888,0.6466666666666667,0.5417649175841582,0.5666666666666667,0.2777777777777778,0.5666666666666667,0.5666666666666667,0.7111111111111111,"{""best_epoch"": 14, ""best_valid_auc"": 0.6466666666666667}"
acepair_cls_2_3,62,GRU_Descriptor,test,82,0.6,0.6170212765957447,0.5770676691729323,0.6724624060150376,0.58014611948696,0.4375,0.16910128256616624,0.5384615384615384,0.3684210526315789,0.7857142857142857,"{""best_epoch"": 14, ""best_valid_auc"": 0.6466666666666667}"
acepair_cls_2_3,62,GRU_A1PCA,valid,64,0.71,0.68,0.6166666666666667,0.6666666666666666,0.5889799032658376,0.42857142857142855,0.31180478223116176,0.75,0.3,0.9333333333333333,"{""best_epoch"": 8, ""best_valid_auc"": 0.6666666666666666}"
acepair_cls_2_3,62,GRU_A1PCA,test,64,0.71,0.6595744680851063,0.5958646616541353,0.668703007518797,0.5916658921312486,0.38461538461538464,0.2642806339686471,0.7142857142857143,0.2631578947368421,0.9285714285714286,"{""best_epoch"": 8, ""best_valid_auc"": 0.6666666666666666}"
acepair_cls_2_3,62,GRU_Descriptor_A1PCA,valid,146,0.29,0.5866666666666667,0.6555555555555556,0.6725925925925926,0.5298458600556943,0.6593406593406593,0.39115912935897884,0.4918032786885246,1.0,0.3111111111111111,"{""best_epoch"": 4, ""best_valid_auc"": 0.6725925925925926}"
acepair_cls_2_3,62,GRU_Descriptor_A1PCA,test,146,0.29,0.5106382978723404,0.5808270676691729,0.6931390977443609,0.6036213646358949,0.6101694915254238,0.222824848248075,0.45,0.9473684210526315,0.21428571428571427,"{""best_epoch"": 4, ""best_valid_auc"": 0.6725925925925926}"
acepair_cls_2_3,72,GRUOnly,valid,0,0.16999999999999998,0.76,0.75,0.8007407407407408,0.6613663147493014,0.7,0.5,0.7,0.7,0.8,"{""best_epoch"": 97, ""best_valid_auc"": 0.8007407407407408}"
acepair_cls_2_3,72,GRUOnly,test,0,0.16999999999999998,0.6276595744680851,0.5986842105263158,0.6795112781954888,0.6023968045084142,0.4927536231884058,0.2060214108575823,0.5483870967741935,0.4473684210526316,0.75,"{""best_epoch"": 97, ""best_valid_auc"": 0.8007407407407408}"
