seed,step,model,feature_set,n_features,val_score,params,val_rmse,val_mae,val_spearman,val_bias,val_top5_hit_rate,val_top10_hit_rate,val_top20_hit_rate,val_strong_n,val_strong_mae,val_strong_rmse,val_strong_bias,test_rmse,test_mae,test_spearman,test_bias,test_top5_hit_rate,test_top10_hit_rate,test_top20_hit_rate,test_strong_n,test_strong_mae,test_strong_rmse,test_strong_bias,selected_k,group_weight_name,diag_weight,core_pair_weight,terminal_pair_weight,order_pair_weight,other_pair_weight,heur_weight,other_weight
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag2_pair_aux,A1FlatFull_GroupWeighted,906,0.998922357849999,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",0.998922357849999,0.7883407464472428,0.2901783761669621,-0.09891538905713387,0.2,0.4,0.4,2,2.0970829700344344,2.1960065939457007,-2.0970829700344344,1.0053123724809316,0.7845178067764683,0.5084028101517373,0.08422135020480691,0.4,0.3,0.55,2,1.7214853665777812,1.7766985966542885,-1.7214853665777812,,diag2_pair_aux,2.0,0.75,0.75,0.5,0.5,0.5,1.0
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag2_pair_noheur,A1FlatFull_GroupWeighted,906,0.9978726383871291,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",0.9978726383871291,0.7880505865628531,0.2832322914314611,-0.0994245834297973,0.2,0.4,0.4,2,2.08804608162375,2.1847925342501107,-2.08804608162375,1.0020732363679836,0.7815843399976056,0.5033462519339635,0.08336716022491757,0.4,0.3,0.6,2,1.7041963200354595,1.7640399140910832,-1.7041963200354595,,diag2_pair_noheur,2.0,0.75,0.75,0.5,0.5,0.0,1.0
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag2_corepair_only,A1FlatFull_GroupWeighted,906,0.9977531802094679,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",0.9977531802094679,0.7879528260993993,0.2849469420714588,-0.09949836874192519,0.2,0.4,0.4,2,2.0883248931026914,2.1852627494573387,-2.0883248931026914,1.0020800947339974,0.7816718784877358,0.5023664344246371,0.08295531309848744,0.4,0.3,0.6,2,1.7046224357685296,1.7643781283189623,-1.7046224357685296,,diag2_corepair_only,2.0,0.75,0.0,0.0,0.0,0.0,1.0
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag3_pair_light,A1FlatFull_GroupWeighted,906,1.0026261304632922,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1.0026261304632922,0.7285637114770989,0.37211418174971056,-0.09536068370399754,0.2,0.3,0.5,2,1.3511465943327385,1.4348696619229286,-1.3511465943327385,0.9904490231247886,0.7499318278253734,0.47946320014413246,-0.035090932912026675,0.4,0.4,0.65,2,1.760993554009529,1.825478130438524,-1.760993554009529,,diag3_pair_light,3.0,0.5,0.5,0.25,0.25,0.25,1.0
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag3_pair_noheur,A1FlatFull_GroupWeighted,906,1.0025792510378309,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1.0025792510378309,0.7286456509405546,0.3722891461007308,-0.09653522454038486,0.2,0.3,0.5,2,1.3513632851112711,1.4355558478104833,-1.3513632851112711,0.9903617802376448,0.7508744709275508,0.4794981936266084,-0.03660132686345439,0.4,0.4,0.65,2,1.7610144028131054,1.8254078749021523,-1.7610144028131054,,diag3_pair_noheur,3.0,0.5,0.5,0.25,0.25,0.0,1.0
62,03_full_group_weighted_svr,A1FlatFull-GroupWeightedSVR-diag4_pair_verylight,A1FlatFull_GroupWeighted,906,1.0013840954360254,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.01}",1.0013840954360254,0.7874083881442038,0.295042385125323,-0.10101855869538616,0.2,0.4,0.4,2,2.1352341682716434,2.245729933173971,-2.1352341682716434,1.0048464616674941,0.7876451639298055,0.4900487285931052,0.08664144608527692,0.4,0.3,0.6,2,1.7462115395804532,1.813818571572757,-1.7462115395804532,,diag4_pair_verylight,4.0,0.35,0.35,0.15,0.15,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-equal_weight,A1FlatSelected_k50_GroupWeighted,50,1.0407895255845898,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0407895255845898,0.8065809665877097,0.2697950292731116,-0.16541637480782895,0.2,0.2,0.55,2,1.5644214481206231,1.5706912839656797,-1.5644214481206231,1.07103147889596,0.8270805675870376,0.3939041354904519,-0.10431768477769113,0.4,0.3,0.55,2,1.9607867953178992,1.9611573302647465,-1.9607867953178992,50.0,equal_weight,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag1p5_pair_aux,A1FlatSelected_k50_GroupWeighted,50,1.0402722720857178,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0402722720857178,0.8074173705181791,0.2767236175735106,-0.17476336801865583,0.2,0.3,0.55,2,1.5376242361940973,1.549266790466543,-1.5376242361940973,1.0866834934104976,0.840205221766522,0.3686213444015831,-0.11590573675971716,0.4,0.2,0.55,2,1.9133769415188402,1.9137332406400984,-1.9133769415188402,50.0,diag1p5_pair_aux,1.5,0.75,0.75,0.5,0.5,0.5,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_aux,A1FlatSelected_k50_GroupWeighted,50,1.0350280887148748,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0350280887148748,0.809761494615945,0.32377153156283595,-0.18312379607767756,0.2,0.2,0.6,2,1.4886429910811092,1.514293844581557,-1.4886429910811092,1.1337864445543018,0.869262207647081,0.298161967436272,-0.09249292527121664,0.4,0.2,0.45,2,2.097239014296509,2.1235465327242036,-2.097239014296509,50.0,diag2_pair_aux,2.0,0.75,0.75,0.5,0.5,0.5,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag2_pair_noheur,A1FlatSelected_k50_GroupWeighted,50,1.0380533089016355,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0380533089016355,0.8163166550882633,0.3012886124567433,-0.18394352749745566,0.2,0.2,0.6,2,1.4886765691821142,1.5144776644911544,-1.4886765691821142,1.1330268611616199,0.8680923966470433,0.2925105200164072,-0.09507545126834377,0.4,0.2,0.45,2,2.093424225790316,2.1198371062269805,-2.093424225790316,50.0,diag2_pair_noheur,2.0,0.75,0.75,0.5,0.5,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag2_corepair_only,A1FlatSelected_k50_GroupWeighted,50,1.0389410510257868,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0389410510257868,0.8150076873873898,0.3082871864975503,-0.20314854259866671,0.2,0.2,0.6,2,1.4903546529058143,1.5153276863499263,-1.4903546529058143,1.1296404860165266,0.8665259454537706,0.31186191582560363,-0.10813077042922115,0.4,0.2,0.5,2,2.0900150654627776,2.1150547504721473,-2.0900150654627776,50.0,diag2_corepair_only,2.0,0.75,0.0,0.0,0.0,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_light,A1FlatSelected_k50_GroupWeighted,50,1.035228802983285,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.035228802983285,0.8087784713633105,0.29525234234654724,-0.17227580089275607,0.2,0.3,0.5,2,1.5233333815805898,1.5376092649060282,-1.5233333815805898,1.1299515425761106,0.8763468196878684,0.2925105200164072,-0.10641940156563562,0.4,0.2,0.4,2,1.9071825276882541,1.9076971435607066,-1.9071825276882541,50.0,diag3_pair_light,3.0,0.5,0.5,0.25,0.25,0.25,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag3_pair_noheur,A1FlatSelected_k50_GroupWeighted,50,1.035423772624733,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.035423772624733,0.8094931587429947,0.2962321427122602,-0.17264415361177227,0.2,0.3,0.5,2,1.5238281352126601,1.5381960703372635,-1.5238281352126601,1.1300615094963375,0.8764303894506812,0.2918981340730782,-0.1067682415495989,0.4,0.2,0.4,2,1.9073900501320167,1.907917905057573,-1.9073900501320167,50.0,diag3_pair_noheur,3.0,0.5,0.5,0.25,0.25,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK50-GroupWeightedSVR-diag4_pair_verylight,A1FlatSelected_k50_GroupWeighted,50,1.0319519345773662,"{""C"": 2.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.0319519345773662,0.8063087144918654,0.2834772415228894,-0.16570998150895663,0.2,0.3,0.5,2,1.4968242162611722,1.5100919310337777,-1.4968242162611722,1.1385088077904755,0.884930594662841,0.2820124752736243,-0.09593941797259496,0.4,0.2,0.35,2,1.8709330320460396,1.8714563449168617,-1.8709330320460396,50.0,diag4_pair_verylight,4.0,0.35,0.35,0.15,0.15,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-equal_weight,A1FlatSelected_k100_GroupWeighted,100,1.0096318425799127,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0096318425799127,0.7689332730119434,0.2824624482869723,-0.1519131173653882,0.2,0.2,0.5,2,1.5050398499888407,1.5486703676719071,-1.5050398499888407,1.0731691635964293,0.8369309877668055,0.336794772089713,-0.031560815422593876,0.4,0.3,0.5,2,1.9180030569427218,1.951902535577234,-1.9180030569427218,100.0,equal_weight,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-diag1p5_pair_aux,A1FlatSelected_k100_GroupWeighted,100,1.0151799989269699,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0151799989269699,0.7739707815350781,0.2766711282682045,-0.1475929496377575,0.2,0.2,0.5,2,1.5747166692850558,1.6162226521096472,-1.5747166692850558,1.0809924304088794,0.8420380833164974,0.3359024382865764,-0.052619681112521265,0.4,0.3,0.5,2,1.865746774661262,1.8774891033498733,-1.865746774661262,100.0,diag1p5_pair_aux,1.5,0.75,0.75,0.5,0.5,0.5,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_aux,A1FlatSelected_k100_GroupWeighted,100,1.0222582130220819,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0222582130220819,0.7880475523949838,0.26440612726169016,-0.1643835806936032,0.2,0.2,0.55,2,1.6338801963866878,1.678701233875242,-1.6338801963866878,1.0874560809146445,0.8407524241975,0.3343102348339211,-0.06827684161058549,0.4,0.3,0.45,2,1.8719323752410197,1.8823114535875798,-1.8719323752410197,100.0,diag2_pair_aux,2.0,0.75,0.75,0.5,0.5,0.5,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-diag2_pair_noheur,A1FlatSelected_k100_GroupWeighted,100,1.0272055929777648,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0272055929777648,0.7955171968784019,0.2536108268037453,-0.1595283155841647,0.2,0.2,0.55,2,1.6161562532063969,1.658716429247665,-1.6161562532063969,1.089577741881439,0.8414531758689832,0.33716220365571037,-0.06257966251065185,0.4,0.3,0.45,2,1.8682865305573157,1.879701371016784,-1.8682865305573157,100.0,diag2_pair_noheur,2.0,0.75,0.75,0.5,0.5,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-diag2_corepair_only,A1FlatSelected_k100_GroupWeighted,100,1.0273257949178731,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": ""scale""}",1.0273257949178731,0.7901982448722508,0.23607939883152362,-0.16097069010245021,0.2,0.2,0.55,2,1.6799785250087305,1.7290162026417086,-1.6799785250087305,1.0792898136532147,0.8235853714463034,0.3393317995692189,-0.04690038748751129,0.4,0.3,0.5,2,1.8867966181288152,1.9155358104511961,-1.8867966181288152,100.0,diag2_corepair_only,2.0,0.75,0.0,0.0,0.0,0.0,1.0
62,04_selected_group_weighted_svr,A1FlatSelectedK100-GroupWeightedSVR-diag3_pair_light,A1FlatSelected_k100_GroupWeighted,100,1.0235709533046091,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",1.0235709533046091,0.7958572748916416,0.24433771619967598,-0.15852254437989113,0.2,0.3,0.5,2,1.6893641413048375,1.7290867540522328,-1.6893641413048375,1.1047713175220542,0.8506981411525357,0.31201938649674543,-0.07186870506744591,0.4,0.3,0.45,2,1.8683606349134032,1.87164626769306,-1.8683606349134032,100.0,diag3_pair_light,3.0,0.5,0.5,0.25,0.25,0.25,1.0
