split_seed,run_seed,effective_seed,variant,n_diag_channels,hidden_dim,num_blocks,dropout,lr,weight_decay,mse_alpha,rank_lambda,select_by,best_epoch,best_score,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
52,4,52004,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,9,1.1061686277389526,7.800635437170665,1.1061686277389526,0.8875792622566223,0.31645802169019255,8.231900652249655,1.1784906387329102,0.9218473434448242,0.47470408652740415
52,0,52000,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,29,1.2592116892131062,7.4553957879543304,1.101920485496521,0.852517306804657,0.37225415323052674,7.207987368106842,1.1010735034942627,0.8316164016723633,0.581591678750172
52,1,52001,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,14,1.2748062088658183,7.714253683884938,1.1087894439697266,0.8761133551597595,0.35341049262565377,7.809001922607422,1.148483157157898,0.8765051960945129,0.488928937153875
52,2,52002,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,6,1.2698725755016425,7.712841351826985,1.1059434413909912,0.8762136101722717,0.3674951228827779,8.478670040766398,1.2048139572143555,0.9454703330993652,0.5080178818445019
52,3,52003,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,26,1.2707788334012815,7.621776233116786,1.1127617359161377,0.8693830370903015,0.3955244119162102,7.13318657875061,1.1010425090789795,0.8182161450386047,0.5252871654463798
52,4,52004,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,12,1.2761370233563436,7.746704240640004,1.102019190788269,0.881580114364624,0.3085146401538766,8.129578948020935,1.1672804355621338,0.9113754630088806,0.4860594715908477
62,0,62000,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,13,0.9842355847358704,6.46287218729655,0.9842355847358704,0.7630874514579773,0.41408812955945085,7.348665515581767,1.0890655517578125,0.8368216156959534,0.32543938702626957
62,1,62001,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,20,0.965092122554779,6.3697083791097,0.965092122554779,0.7542030215263367,0.4098189993945586,7.707543849945068,1.1046974658966064,0.8754265904426575,0.28939610007604827
62,2,62002,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,14,1.0044025182724,6.5357151826222735,1.0044025182724,0.7699218392372131,0.3570147582566694,7.338397185007731,1.0854138135910034,0.8386186361312866,0.4068342272653128
62,3,62003,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,12,0.9940851926803589,6.51945956548055,0.9940851926803589,0.7645272612571716,0.3711693742542017,7.232733090718587,1.071050763130188,0.8325554132461548,0.39859326214222823
62,4,62004,DiagTokenLenHead,15,64,2,0.15,0.001,0.0002,0.1,0.0,val_rmse,20,0.9892774224281311,6.632654110590617,0.9892774224281311,0.7783353328704834,0.39190264985009254,7.238582293192546,1.0822789669036865,0.831332266330719,0.35667107013604854
62,0,62000,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,14,1.1114069144033474,6.405684153238933,0.9863548278808594,0.7542880773544312,0.4234662187741323,7.130667408307393,1.068143606185913,0.8145748972892761,0.4439448154310504
62,1,62001,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,20,1.1126535731521263,6.625645796457927,0.976059079170227,0.7760921716690063,0.3828569929023494,7.854292790095012,1.1118663549423218,0.8955320715904236,0.24362462499751492
62,2,62002,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,11,1.138113447681982,6.611637910207112,1.001941442489624,0.775053083896637,0.3839417718786745,7.3973521788914995,1.0975371599197388,0.8452813029289246,0.35737093978556744
62,3,62003,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,12,1.1296292267290173,6.534202655156453,0.9951279163360596,0.7634468078613281,0.3757359438158282,7.232721249262492,1.0693525075912476,0.8288964629173279,0.4069042142302647
62,4,62004,DiagTokenLenHeadRank,15,64,2,0.18,0.001,0.0003,0.05,0.02,combined,17,1.1239047561950846,6.301941315333049,0.9933003187179565,0.7510296702384949,0.3810198672166376,6.721756498018901,1.047365665435791,0.7808970808982849,0.4311721943273311
