rank_by_mcc,dataset,experiment_group,feature_set,model,n_seeds,n_features_mean,extra_dim_mean,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,method_family
36,acepair_cls_2_3,pLM4ACE-like,ESM2,ESM2-RF,5,320.0,,0.5936170212765958,0.0478132022430728,0.6081766917293233,0.0339590182676524,0.6616541353383459,0.0353225948739964,0.5643317284995046,0.0425854343557589,0.5754723074990877,0.0308307277523035,0.2165119468979758,0.0630979887702032,0.5030376656591491,0.0362472826365161,0.6842105263157896,0.0966903845835465,0.5321428571428571,0.1290170847727745,pLM4ACE-like
37,acepair_cls_2_3,FeatureModelGrid,SeqOnly,SeqOnly-LR,5,130.0,,0.6212765957446809,0.038796984103852,0.6017857142857144,0.0372185197812823,0.6484022556390978,0.0156506834254641,0.554385525779922,0.0212189989200058,0.5036742640570276,0.0942629460755336,0.2149243495223431,0.0692535406567901,0.5488523162661093,0.0640660689798979,0.5000000000000001,0.1735645520825384,0.7035714285714285,0.1481174382380551,Sequence baseline
38,acepair_cls_2_3,pLM4ACE-like,ESM2,ESM2-CatBoost,5,320.0,,0.6042553191489362,0.0275365512883931,0.606954887218045,0.02992723830229,0.6360902255639097,0.0417963713203508,0.5260451315291298,0.0589880792510799,0.5566542934434906,0.0468516964694378,0.2118822080828024,0.0576330545341938,0.5092890442890443,0.0254099836637716,0.6210526315789473,0.0995140547431002,0.5928571428571427,0.0761811750275054,pLM4ACE-like
39,acepair_cls_2_3,GRU4ACE-like,Token/GRU,GRU_Descriptor,5,,82.0,0.5978723404255321,0.0506856563811557,0.5965225563909774,0.0304303076739993,0.6928571428571428,0.0314737383203124,0.6211134262269752,0.029290149511458,0.5237724355984199,0.0924365558702535,0.2109118172277109,0.0568869364248238,0.5259626426205373,0.0685157326470525,0.5894736842105264,0.24868072957742,0.6035714285714285,0.2380431490640437,GRU4ACE-like
40,acepair_cls_2_3,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-LR,5,1308.0,,0.6148936170212767,0.0428183229734002,0.6031954887218045,0.0513204368712702,0.6402255639097745,0.0441986707129538,0.5300844728212558,0.0413792228298628,0.5124905239687849,0.1378573927951057,0.2097735878640051,0.0941697747914354,0.5249522599522599,0.0469544044820663,0.5421052631578948,0.2085432921700941,0.6642857142857144,0.1527803545443388,A1/Descriptor + ESM2 fusion
41,acepair_cls_2_3,FeatureModelGrid,A1FlatFull,A1FlatFull-LR,5,906.0,,0.625531914893617,0.0230632802007221,0.593515037593985,0.0589788401869821,0.6787593984962406,0.0275429663213939,0.5562495444126939,0.0397817688274441,0.4235487421570408,0.2335185932628948,0.201961307195626,0.1075708346556741,0.5525901316598991,0.0574206946029646,0.4263157894736842,0.2926855308084059,0.7607142857142858,0.1828069127438532,Ours: A1 pairwise representation
42,acepair_cls_2_3,Fusion,A1FlatFull_ESM2,A1FlatFull_ESM2-SVC,5,1226.0,,0.6319148936170211,0.0244912009217474,0.5853383458646617,0.0300744537034426,0.6739191729323307,0.0430809834697791,0.5872045629798134,0.055115710815604,0.420350992689096,0.0855317718717573,0.201451487904949,0.0630824550045246,0.5914824092316353,0.0865815583076754,0.3421052631578947,0.113188490355824,0.8285714285714286,0.0794592695045963,A1/Descriptor + ESM2 fusion
43,acepair_cls_2_3,pLM4ACE-like,ESM2,ESM2-LR,5,320.0,,0.6,0.0287430980555452,0.594078947368421,0.0315837022020043,0.6681390977443609,0.0340629044596834,0.5588520939200039,0.0444050776770627,0.5197421668706182,0.0871956164744094,0.1946341311472205,0.0633413390105502,0.5092946269416857,0.0353404005916435,0.5631578947368421,0.1983309861201765,0.625,0.1597191412499849,pLM4ACE-like
44,acepair_cls_2_3,Fusion,A1FlatFull_ESM2,A1FlatFull_ESM2-LR,5,1226.0,,0.5872340425531914,0.0421523675662956,0.5926691729323308,0.0213218512219986,0.6462406015037594,0.0383635403570853,0.5224764295710305,0.0393291209135254,0.5417974639698626,0.0550234363071775,0.1906106060018848,0.0421124542662777,0.5040156589693872,0.050909941868241,0.6210526315789473,0.1585512666462323,0.5642857142857143,0.1696898431172085,A1/Descriptor + ESM2 fusion
45,acepair_cls_2_3,FeatureModelGrid,SeqOnly,SeqOnly-MLP,5,130.0,,0.6106382978723405,0.0349610143088403,0.5894736842105261,0.0267374416623406,0.6215225563909774,0.0788218154434517,0.5389644694638561,0.0615060493874842,0.4925485668947829,0.0634489822491634,0.1871204302959534,0.0545116863343509,0.5312422351083765,0.0533438160099556,0.4789473684210527,0.1168017948482744,0.7,0.11804638486456,Sequence baseline
