seed,model,group_col,group_value,n,rmse,mae,spearman,bias_mean,abs_error_median
42,SeqOnly-SVR,length,2,22,1.0053169102714663,0.8128110023684595,0.4635798983625071,0.4262527641082343,0.693892692087897
42,SeqOnly-SVR,length,3,48,1.215155890813319,0.9300126742898344,0.23362101755091308,0.0122436782061109,0.7909267006591865
52,A1-DiagCorePairLite,length,2,21,0.9209520085913657,0.6848530218633896,0.3527119380568462,0.4091796922673699,0.38045841205522724
52,A1-DiagCorePairLite,length,3,49,1.1535649982931562,0.9081114635416164,0.5593510040341528,0.10046527135613302,0.7027073080073416
52,A1-DiagLite,length,2,21,0.8504853212767691,0.6327111439784866,0.34946413015577027,0.1291093922673699,0.37876414001425696
52,A1-DiagLite,length,3,49,1.1530043304914506,0.914211737372156,0.5393504938105473,-0.16212782048060162,0.7339045203691525
52,A1FlatFull-SVR,length,2,21,0.8422339083928071,0.6123464729297999,0.4274115197815926,0.21040557919314398,0.3910306228724876
52,A1FlatFull-SVR,length,3,49,1.1188109244090578,0.8519308123219427,0.5844536852331681,0.13478114101048635,0.6867495551470246
52,Descriptor-CatBoost,length,2,21,1.179399921124497,0.8910235822432582,0.04417018745463268,0.5249169146787751,0.634216408868455
52,Descriptor-CatBoost,length,3,49,1.149721834852778,0.873779942039683,0.4017959643135049,0.016025444656258492,0.7397700369510107
52,Descriptor-SVR,length,2,21,1.1486222500859535,0.9711492154189472,0.3273790364284539,0.6284892802870884,0.7622483944253964
52,Descriptor-SVR,length,3,49,1.1452637851837733,0.8804023078039004,0.43929692098276535,-0.11879658039659359,0.6894663697253369
52,MeanPredictor,length,2,21,1.3671196070417382,1.1605692405175392,,0.9186512339968487,1.2189643916963941
52,MeanPredictor,length,3,49,1.275070612917737,1.0354681107534658,0.0,-0.12416781480554474,0.9012868598884713
52,PhysChemOnly-SVR,length,2,21,1.1474083261040144,0.8529557372039053,0.12276713866067022,0.4423886883275839,0.6532348739515168
52,PhysChemOnly-SVR,length,3,49,1.1758012916977556,0.9395495633624922,0.3978774427266697,-0.10144356351048477,0.7515566011875427
52,SeqOnly-CatBoost,length,2,21,1.0735723954582945,0.7660091646937117,0.06365703486108826,0.33653366618451297,0.3220026973732444
52,SeqOnly-CatBoost,length,3,49,1.1433268637765208,0.9090953064613628,0.44322559263383077,-0.040957156976874055,0.7065951916934718
52,SeqOnly-SVR,length,2,21,1.0060594744536426,0.7633765355314178,0.41831765765858003,0.4342912604134561,0.7116398220673013
52,SeqOnly-SVR,length,3,49,1.1618448285355865,0.896080314727393,0.44873593728727307,-0.0046145334577221775,0.7678889357974708
62,A1-DiagCorePairLite,length,2,30,1.1180499230304193,0.9003467275972568,0.2687729463733567,0.12515562966951224,0.7249985827672978
62,A1-DiagCorePairLite,length,3,40,1.011317313928308,0.8027312401120967,0.41054508108247895,0.14931600539755413,0.5936954063276902
62,A1-DiagLite,length,2,30,1.1054544751765165,0.8599046968512483,0.32261653331239004,0.28924840633617893,0.5962147758282004
62,A1-DiagLite,length,3,40,0.9296471216278468,0.7517549319660549,0.451261846436637,0.08061762289755411,0.6293355096123008
62,A1FlatFull-SVR,length,2,30,1.0914424084388796,0.7675674188108117,0.3510957859082424,-0.1093120125258614,0.4285338459504242
62,A1FlatFull-SVR,length,3,40,0.9427374927162046,0.7234135896816584,0.3904681507004747,0.0345303073091213,0.5315574078082896
62,Descriptor-CatBoost,length,2,30,1.1298850748870182,0.8070561444011075,0.24518856531741645,-0.00016299814940432534,0.49596151910050756
62,Descriptor-CatBoost,length,3,40,1.0052789550486472,0.8032537944379257,0.30622009704141023,-0.16603395733854223,0.7490400986747361
62,Descriptor-SVR,length,2,30,1.1042872700583686,0.9273002849926061,0.3266214282086818,0.15771714530234113,0.8504833288149445
62,Descriptor-SVR,length,3,40,1.0144658006375953,0.7982702259704909,0.31400694387181377,-0.2150128458113795,0.6462626512513854
62,MeanPredictor,length,2,30,1.2803129776302389,1.0914222244033587,0.0,0.5377763077435067,1.0422858948498768
62,MeanPredictor,length,3,40,1.0671096030510185,0.8400251380527743,0.0,-0.11450650986178476,0.7653132616405038
62,PhysChemOnly-SVR,length,2,30,1.1731775028439722,0.8796310946835688,0.204985538128568,0.12289567071941696,0.616845523391458
62,PhysChemOnly-SVR,length,3,40,1.1289716431916106,0.9245422784784004,0.05103668284023505,-0.22104376579761925,0.828067213169315
62,SeqOnly-CatBoost,length,2,30,1.0826005181309504,0.8227761145413341,0.22093670177876087,-0.003450249994443144,0.45382271987226686
62,SeqOnly-CatBoost,length,3,40,1.0031820274523857,0.8012088299991816,0.29524345753349207,-0.019041339811657943,0.617840301239805
62,SeqOnly-SVR,length,2,30,1.1356325394842686,0.8908252352423626,0.20981199373350606,-0.051131346220462844,0.6729603800185853
62,SeqOnly-SVR,length,3,40,1.0004557126956855,0.7969424576869691,0.3209494338169928,0.06276348041905463,0.5554470100549684
