model,group_value,n_mean,n_std,rmse_mean,rmse_std,mae_mean,mae_std,spearman_mean,spearman_std,bias_mean_mean,bias_mean_std,abs_error_median_mean,abs_error_median_std
Descriptor-CatBoost,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,2.0014290879936634,0.26790357550772115,1.8562278234669032,0.3485672359089551,-0.24595492912420727,1.0869597423462753,-1.8562278234669032,0.3485672359089551,1.871953109346558,0.326689575303238
Descriptor-CatBoost,weak_lt_5,54.333333333333336,1.154700538379251,1.033389026328503,0.16595030711941158,0.7699509481571848,0.12611984313023455,0.2509935074091951,0.22715961028065784,0.4296912403535895,0.1488415512280598,0.5227669581692626,0.038565718962138125
Descriptor-SVR,medium_5_to_6,13.0,0.0,1.256016867118164,0.163036824529258,1.10400986164927,0.1494359497028865,-0.0009588427022693899,0.14174947691926534,-1.0910957429964727,0.16649034149621186,0.9751424433437065,0.1838318079626255
Descriptor-SVR,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,1.9615371142321958,0.17809242250620416,1.8508318590258293,0.047026035903497306,-0.07027283689263064,1.0073801739238342,-1.8508318590258293,0.047026035903497306,1.898194661180588,0.12364260984636674
Descriptor-SVR,weak_lt_5,54.333333333333336,1.154700538379251,1.0234756197831476,0.12855027262795918,0.8022159450809473,0.08548518868939178,0.31856448555421196,0.016871477084416654,0.43511941043846597,0.12717020834340634,0.646502208764018,0.02331853986828906
MeanPredictor,medium_5_to_6,13.0,0.0,1.3030770564273524,0.0237002832706185,1.2766358796760582,0.030311770023456763,,,-1.2766358796760582,0.030311770023456763,1.241377891720543,0.016870164888387624
MeanPredictor,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,2.4265258989498117,0.16083938732447317,2.4139287338039708,0.16296723022076542,0.0,0.0,-2.4139287338039708,0.16296723022076542,2.4199289555890124,0.16406230080043036
MeanPredictor,weak_lt_5,54.333333333333336,1.154700538379251,1.1375470658384594,0.0606723795529199,0.8867838824346818,0.05404536897705599,0.0,,0.6448054983748855,0.09436074539399593,0.6921869821348157,0.03628532639974047
PhysChemOnly-SVR,medium_5_to_6,13.0,0.0,1.310140355529614,0.29467045639808487,1.188088033126135,0.26493392376479463,0.07427799753626844,0.06194406342249865,-1.188088033126135,0.26493392376479463,1.1956943755935343,0.295758501890177
PhysChemOnly-SVR,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,2.043955140615901,0.08686634438928824,1.9885813038797633,0.05699029343026049,-0.07027283689263064,1.0073801739238342,-1.9885813038797633,0.05699029343026049,1.9857136044967223,0.054558775965479124
PhysChemOnly-SVR,weak_lt_5,54.333333333333336,1.154700538379251,1.0305511482156275,0.07309038760495387,0.7730900609100337,0.038037610075042055,0.2996205975359089,0.11858817751476416,0.4010376909373039,0.08250157377046281,0.5775781406325579,0.053600023330857706
SeqOnly-CatBoost,medium_5_to_6,13.0,0.0,1.2862119057247072,0.17465923210048934,1.1957077314434352,0.13301544407575794,0.07339496213848702,0.1809119142606735,-1.1957077314434352,0.13301544407575794,1.1654904705935332,0.05142345472479453
SeqOnly-CatBoost,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,1.8721005637027812,0.12861804515623115,1.7897650949208428,0.18317306205881792,-0.07027283689263064,1.0073801739238342,-1.7897650949208428,0.18317306205881792,1.7369740022673656,0.2542631401233851
SeqOnly-CatBoost,weak_lt_5,54.333333333333336,1.154700538379251,1.0012466967290512,0.12713114284720978,0.7513651394012756,0.10245901515873762,0.2737126726483699,0.18108658918779963,0.4124236739002651,0.06790520646692907,0.508728660385887,0.12635432840053915
SeqOnly-SVR,medium_5_to_6,13.0,0.0,1.2544453614558209,0.20755500975804617,1.0669483697483182,0.16425508147251827,-0.02661622871200726,0.10467086842659123,-1.0669483697483182,0.16425508147251827,0.9920030518695171,0.14754491837866854
SeqOnly-SVR,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,2.0039239444542463,0.37546877945151286,1.895089384418302,0.3547006612567084,-0.07027283689263064,1.0073801739238342,-1.895089384418302,0.3547006612567084,1.976686158401326,0.39735155017893026
SeqOnly-SVR,weak_lt_5,54.333333333333336,1.154700538379251,0.9986735038570816,0.09365027669041281,0.7616226644761702,0.06324885989145441,0.41031321792931114,0.0312888232208836,0.4716929409702784,0.09681766862239631,0.6032392620093153,0.08703399244423554
