seed,model,model_group,feature_set,n_features,test_rmse,test_mae,test_spearman,diaglite_rmse,diaglite_mae,diaglite_spearman,delta_rmse_vs_diaglite,delta_mae_vs_diaglite,delta_spearman_vs_diaglite
52,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1952748477024755,0.9289473385696504,0.3406820289920116,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.12401821012923331,0.0991857738380525,-0.2636904068499992
52,MeanPredictor,traditional_or_flat_baseline,,0,1.303368080603433,1.072998449682688,0.0,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.2321114430301907,0.2432368849510902,-0.6043724358420108
62,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,0.9875262975692748,0.7468214631080627,0.4880541000919763,1.0087519884109497,0.7981048822402954,0.4728144384737033,-0.021225690841674916,-0.051283419132232666,0.015239661618273004
62,A1-DiagLite,neural_a1_lite,diag_lite,15,1.0087519884109497,0.7981048822402954,0.4728144384737033,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.0,0.0,0.0
62,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.00915491614858,0.7423366593084383,0.4592019737905614,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.00040292773763028755,-0.055768222931857125,-0.013612464683141923
62,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.0138973052403952,0.76349326609275,0.4000104981825039,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.005145316829445523,-0.034611616147545377,-0.07280394029119941
62,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.037962865175692,0.8104519519458183,0.3771247606432372,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.029210876764742322,0.012347069705522906,-0.09568967783046611
62,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.053898515518996,0.8535688226942545,0.3707559468326156,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.04514652710804623,0.05546394045395908,-0.10205849164108771
62,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0583785772323608,0.8445665240287781,0.4149527151997316,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.04962658882141113,0.046461641788482666,-0.05786172327397171
62,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.0604759010673417,0.8048833729935753,0.4009378254681164,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.05172391265639198,0.006778490753279853,-0.0718766130055869
62,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.0605005776564869,0.8371779337821377,0.3693737042748159,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.05174858924553716,0.03907305154184226,-0.10344073419888739
62,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.0790421279192632,0.8327762378347998,0.3726903695408735,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.07029013950831353,0.034671355594504405,-0.10012406893282982
62,A1-Full,neural_a1_lite,full,36,1.1248290538787842,0.9238587617874146,0.2618212358850052,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.11607706546783447,0.12575387954711914,-0.21099320258869808
62,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1481254438717994,0.9052946282806152,0.2279885218365061,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.13937345546084967,0.10718974604031983,-0.24482591663719722
62,MeanPredictor,traditional_or_flat_baseline,,0,1.1632771185479185,0.9477667464887392,0.0,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.15452513013696878,0.14966186424844374,-0.4728144384737033
