dataset,seed,feature_set,model,base_model,n_features,params,split,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity
plm4ace_cleaned_2_5,72,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",test,0.6,0.888,0.8854529616724739,0.9616724738675958,0.9310704083446881,0.8372093023255814,0.7540179828537904,0.8,0.8780487804878049,0.8928571428571429
plm4ace_cleaned_2_5,72,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",valid,0.7999999999999999,0.9,0.8602941176470589,0.8984375,0.8796706705924383,0.8275862068965517,0.7663269147029332,0.9230769230769231,0.75,0.9705882352941176
plm4ace_cleaned_2_5,72,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",test,0.7999999999999999,0.856,0.8117015098722415,0.9096980255516841,0.8715289660529488,0.7567567567567568,0.6639717310361093,0.8484848484848485,0.6829268292682927,0.9404761904761905
plm4ace_cleaned_2_5,72,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,164,"{""k"": 100, ""pca_dim"": 64, ""C"": 10.0, ""max_a1_for_interaction"": null}",valid,0.9299999999999999,0.95,0.9384191176470589,0.953125,0.9372293223337202,0.9206349206349206,0.8843894080273339,0.9354838709677419,0.90625,0.9705882352941176
plm4ace_cleaned_2_5,72,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,164,"{""k"": 100, ""pca_dim"": 64, ""C"": 10.0, ""max_a1_for_interaction"": null}",test,0.9299999999999999,0.88,0.8607723577235773,0.9535423925667829,0.9060759292186853,0.8148148148148148,0.7261985261471465,0.825,0.8048780487804879,0.9166666666666666
plm4ace_cleaned_2_5,72,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,3464,"{""k"": 200, ""pca_dim"": 64, ""C"": 10.0, ""max_a1_for_interaction"": 50}",valid,0.24999999999999994,0.87,0.8465073529411764,0.8869485294117646,0.804971593494342,0.7936507936507936,0.6989828235352303,0.8064516129032258,0.78125,0.9117647058823529
plm4ace_cleaned_2_5,72,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,3464,"{""k"": 200, ""pca_dim"": 64, ""C"": 10.0, ""max_a1_for_interaction"": 50}",test,0.24999999999999994,0.768,0.7649535423925669,0.8469802555168409,0.831111151510026,0.6813186813186813,0.5078268549372233,0.62,0.7560975609756098,0.7738095238095238
plm4ace_cleaned_2_5,82,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",valid,0.5499999999999999,0.93,0.9154411764705883,0.9715073529411764,0.9519492684834787,0.8888888888888888,0.838037761904308,0.9032258064516129,0.875,0.9558823529411765
plm4ace_cleaned_2_5,82,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",test,0.5499999999999999,0.84,0.837253193960511,0.9303135888501742,0.8818071086937842,0.7727272727272727,0.6537646110833785,0.723404255319149,0.8292682926829268,0.8452380952380952
plm4ace_cleaned_2_5,82,A1FlatSelected,A1FlatSelected-LR,LR,50,"{""k"": 50, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",valid,0.59,0.89,0.8777573529411764,0.9315257352941175,0.8863433489776449,0.8307692307692308,0.7495109747382576,0.8181818181818182,0.84375,0.9117647058823529
plm4ace_cleaned_2_5,82,A1FlatSelected,A1FlatSelected-LR,LR,50,"{""k"": 50, ""pca_dim"": null, ""C"": 0.1, ""max_a1_for_interaction"": null}",test,0.59,0.784,0.7643728222996515,0.8543844367015099,0.7420832481071733,0.6823529411764706,0.5197679862092583,0.6590909090909091,0.7073170731707317,0.8214285714285714
plm4ace_cleaned_2_5,82,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,66,"{""k"": 50, ""pca_dim"": 16, ""C"": 1.0, ""max_a1_for_interaction"": null}",valid,0.69,0.93,0.9071691176470589,0.9462316176470589,0.9225740959179747,0.8852459016393442,0.8371554303943476,0.9310344827586207,0.84375,0.9705882352941176
plm4ace_cleaned_2_5,82,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,66,"{""k"": 50, ""pca_dim"": 16, ""C"": 1.0, ""max_a1_for_interaction"": null}",test,0.69,0.784,0.758130081300813,0.8928571428571428,0.802574703648657,0.6746987951807228,0.5131407372901637,0.6666666666666666,0.6829268292682927,0.8333333333333334
plm4ace_cleaned_2_5,82,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,1016,"{""k"": 200, ""pca_dim"": 16, ""C"": 1.0, ""max_a1_for_interaction"": 50}",valid,0.7899999999999999,0.91,0.8676470588235294,0.9044117647058824,0.8698254286144333,0.8421052631578947,0.7921180343813394,0.96,0.75,0.9852941176470589
plm4ace_cleaned_2_5,82,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,1016,"{""k"": 200, ""pca_dim"": 16, ""C"": 1.0, ""max_a1_for_interaction"": 50}",test,0.7899999999999999,0.808,0.7697444831591174,0.828397212543554,0.7098051025114341,0.6923076923076923,0.5548453365465856,0.7297297297297297,0.6585365853658537,0.8809523809523809
